_returnType, addr, addrRoad, cameraNum, dataDay, gubun, gugun, idx, instt, lat, lng, numOfRows, pageNo, phone, photoInfo, pixel, resultCode, resultMsg, serviceKey, setDay, storeDays, totalCount
"xml","부산광역시 해운대구 송정동 84-4","부산광역시 해운대구 송정2로 67(송정동 84-4)","1","2018-08-10","다목적","해운대구","7693","부산광역시 해운대구청","35.194391","129.207239","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 송정동 183-17","부산광역시 해운대구 송정강변로 51","1","2018-08-10","다목적","해운대구","7694","부산광역시 해운대구청","35.1860607","129.2048807","10","1","051-749-4674","토출구","41","","","","-","30",""
"xml","부산광역시 해운대구 송정동 183-17","부산광역시 해운대구 송정강변로 51","1","2018-08-10","다목적","해운대구","7695","부산광역시 해운대구청","35.1860607","129.2048807","10","1","051-749-4674","토출구","41","","","","-","30",""
"xml","부산광역시 해운대구  송정광어골로 30 (송정동 460-4)","부산광역시 해운대구 송정광어골로 30","1","2018-08-10","다목적","해운대구","7696","부산광역시 해운대구청","35.16381777","129.164529","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 송정동 438-4","부산광역시 해운대구 송정광어골로 82번길 80","1","2018-08-10","다목적","해운대구","7697","부산광역시 해운대구청","35.1767211","129.195651","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 송정동305-5","부산광역시 해운대구 송정광어골로82번길","1","2018-08-10","다목적","해운대구","7698","부산광역시 해운대구청","35.167017","129.181489","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  송정동 460-4 (송정동 460-4)","부산광역시 해운대구 송정광어골로82번길 138","1","2018-08-10","다목적","해운대구","7699","부산광역시 해운대구청","35.16862103","129.1804899","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 송정동 841","부산광역시 해운대구 송정구덕포길 168","2","2018-08-10","다목적","해운대구","7700","부산광역시 해운대구청","35.1683924","129.1970217","10","1","051-749-6166","방파제방향","200","","","","-","30",""
"xml","부산광역시 해운대구 송정동 759-1번지","부산광역시 해운대구 송정구덕포길 37","1","2018-08-10","다목적","해운대구","7701","부산광역시 해운대구청","35.174159","129.197722","10","1","051-749-6166","바다방향","200","","","","-","30",""
"xml","부산광역시 해운대구 송정동 227-9","부산광역시 해운대구 송정동 227-9","3","2018-08-10","다목적","해운대구","7702","부산광역시 해운대구청","35.18219535","129.204181","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 송정동 297-21","부산광역시 해운대구 송정동 297-21","2","2018-08-10","다목적","해운대구","7703","부산광역시 해운대구청","35.18077259","129.202484","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 송정동 373","부산광역시 해운대구 송정동 373","2","2018-08-10","다목적","해운대구","7704","부산광역시 해운대구청","35.18255146","129.2034915","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 송정동 451번지","부산광역시 해운대구 송정동 451번지","1","2018-08-10","다목적","해운대구","7705","부산광역시 해운대구청","35.1840107","129.2012757","10","1","051-749-4674","기계실","41","","","","-","30",""
"xml","부산광역시 해운대구 송정동 451번지","부산광역시 해운대구 송정동 451번지","1","2018-08-10","다목적","해운대구","7706","부산광역시 해운대구청","35.1840107","129.2012757","10","1","051-749-4674","전기실","41","","","","-","30",""
"xml","부산광역시 해운대구 송정동 451번지","부산광역시 해운대구 송정동 451번지","1","2018-08-10","다목적","해운대구","7707","부산광역시 해운대구청","35.1840107","129.2012757","10","1","051-749-4674","토출구","41","","","","-","30",""
"xml","부산광역시 해운대구 반여동 656-1","부산광역시 해운대구 삼어로 91번길 120-19","1","2018-08-10","다목적","해운대구","7629","부산광역시 해운대구청","35.2103018","129.116713","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  반여동 1063-4(반여동 1543-7도)","부산광역시 해운대구 삼어로 95","1","2018-08-10","다목적","해운대구","7630","부산광역시 해운대구청","35.16757242","129.1589827","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동1502-28","부산광역시 해운대구 삼어로91번길","3","2018-08-10","다목적","해운대구","7631","부산광역시 해운대구청","35.205115","129.118526","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 석대동 591-6","부산광역시 해운대구 석대동 591-6","1","2018-08-10","다목적","해운대구","7632","부산광역시 해운대구청","35.2201961","129.1177918","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 석대동482-1","부산광역시 해운대구 석대동482-1","1","2018-08-10","다목적","해운대구","7633","부산광역시 해운대구청","35.219884","129.125711","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 석대동624-1","부산광역시 해운대구 석대동624-1","1","2018-08-10","다목적","해운대구","7634","부산광역시 해운대구청","35.220606","129.119324","10","1","051-749-6051","인도방향","200","","","","-","30",""
"xml","부산광역시 해운대구 중1동1167-2","부산광역시 해운대구 석천로 177번길 31","1","2018-08-10","다목적","해운대구","7635","부산광역시 해운대구청","37.5032367","126.7609462","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1215-13","부산광역시 해운대구 선수촌로 104-5","3","2018-08-10","다목적","해운대구","7636","부산광역시 해운대구청","35.2030202","129.1195906","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1502-47","부산광역시 해운대구 선수촌로 119","1","2018-08-10","다목적","해운대구","7637","부산광역시 해운대구청","35.181343","129.167536","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  반여동 1635(반여동 1635공)","부산광역시 해운대구 선수촌로 122","1","2018-08-10","다목적","해운대구","7638","부산광역시 해운대구청","35.18971051","129.1210273","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  선수촌로122 (반여동 1634)","부산광역시 해운대구 선수촌로 122","1","2018-08-10","다목적","해운대구","7639","부산광역시 해운대구청","35.15925713","129.1798492","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 905-4","부산광역시 해운대구 선수촌로 157","4","2018-08-10","다목적","해운대구","7640","부산광역시 해운대구청","35.2071407","129.1224063","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 반여1동 903-15","부산광역시 해운대구 선수촌로 169","1","2018-08-10","다목적","해운대구","7641","부산광역시 해운대구청","35.20032308","129.1297687","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 809-2","부산광역시 해운대구 선수촌로 205(반여동 809-2)","1","2018-08-10","다목적","해운대구","7642","부산광역시 해운대구청","35.210841","129.125717","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반송1동 591-29","부산광역시 해운대구 선수촌로 295","1","2018-08-10","다목적","해운대구","7643","부산광역시 해운대구청","35.2252453","129.1477727","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1356-4","부산광역시 해운대구 선수촌로 6-7","1","2018-08-10","다목적","해운대구","7644","부산광역시 해운대구청","35.194311","129.124241","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  반여동 1502-16(반여동 1502-16하)","부산광역시 해운대구 선수촌로 95","1","2018-08-10","다목적","해운대구","7645","부산광역시 해운대구청","35.15858568","129.1520148","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1217-5","부산광역시 해운대구 선수촌로119","2","2018-08-10","다목적","해운대구","7646","부산광역시 해운대구청","35.2012198","129.122719","10","1","051-749-6166","세월교방향","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1217-5번지","부산광역시 해운대구 선수촌로119","1","2018-08-10","다목적","해운대구","7647","부산광역시 해운대구청","35.2040857","129.1198596","10","1","051-749-6166","수문방향","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1217-5번지","부산광역시 해운대구 선수촌로119","1","2018-08-10","다목적","해운대구","7648","부산광역시 해운대구청","35.2040857","129.1198596","10","1","051-749-6166","수문방향","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1217-5번지","부산광역시 해운대구 선수촌로119","1","2018-08-10","다목적","해운대구","7649","부산광역시 해운대구청","35.2040857","129.1198596","10","1","051-749-6166","수문방향","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1217-5번지","부산광역시 해운대구 선수촌로119","1","2018-08-10","다목적","해운대구","7650","부산광역시 해운대구청","35.2040857","129.1198596","10","1","051-749-6166","수문방향","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 903-82","부산광역시 해운대구 선수촌로165번길","1","2018-08-10","다목적","해운대구","7651","부산광역시 해운대구청","35.2082694","129.1220542","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 897","부산광역시 해운대구 선수촌로207번가길63","1","2018-08-10","다목적","해운대구","7652","부산광역시 해운대구청","35.211329","129.130774","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 757-1","부산광역시 해운대구 선수촌로207번길 14","1","2018-08-10","다목적","해운대구","7653","부산광역시 해운대구청","35.21107569","129.1243205","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 766-1","부산광역시 해운대구 선수촌로207번나길 23(반여동 766-1)","1","2018-08-10","다목적","해운대구","7654","부산광역시 해운대구청","35.210286","129.122802","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 735-20","부산광역시 해운대구 선수촌로207번다길 28","2","2018-08-10","다목적","해운대구","7655","부산광역시 해운대구청","35.210833","129.122442","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 선수촌로208번길 81-4","부산광역시 해운대구 선수촌로208번길 81-4","2","2018-08-10","다목적","해운대구","7656","부산광역시 해운대구청","35.21252019","129.129105","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 219-1","부산광역시 해운대구 선수촌로208번길60","1","2018-08-10","다목적","해운대구","7657","부산광역시 해운대구청","35.2120418","129.127959","10","1","051-749-4461","쓰레기무단투기빈번지역","41","","","","-","30",""
"xml","부산광역시 해운대구  반여동 1405-34(반여동 1405-32도)","부산광역시 해운대구 선수촌로21번길 29","1","2018-08-10","다목적","해운대구","7658","부산광역시 해운대구청","35.202315","129.123943","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  반여1 1640","부산광역시 해운대구 선수촌로78번길 17-5","1","2018-08-10","다목적","해운대구","7659","부산광역시 해운대구청","35.202772","129.129508","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1446-1","부산광역시 해운대구 선수촌로78번길 17-5","1","2018-08-10","다목적","해운대구","7660","부산광역시 해운대구청","35.166884","129.143697","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 좌동 1293","부산광역시 해운대구 세실로 127","1","2018-08-10","다목적","해운대구","7661","부산광역시 해운대구청","35.17500208","129.1746897","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  좌1동 1292","부산광역시 해운대구 세실로 127","1","2018-08-10","다목적","해운대구","7662","부산광역시 해운대구청","35.166441","129.185626","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  좌4동 1412","부산광역시 해운대구 세실로 158","1","2018-08-10","다목적","해운대구","7663","부산광역시 해운대구청","35.16390752","129.1635705","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 좌동 1333(좌동 1335)","부산광역시 해운대구 세실로 19","1","2018-08-10","다목적","해운대구","7664","부산광역시 해운대구청","35.16890974","129.1818716","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 좌2동 1334","부산광역시 해운대구 세실로 19","1","2018-08-10","다목적","해운대구","7665","부산광역시 해운대구청","35.188337","129.127509","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 좌동 1333(좌동 1335)","부산광역시 해운대구 세실로 19","1","2018-08-10","다목적","해운대구","7666","부산광역시 해운대구청","35.16890974","129.1818716","10","1","051-749-6051","학교주변고정","200","","","","-","30",""
"xml","부산광역시 해운대구 좌2동 1484","부산광역시 해운대구 세실로 45","1","2018-08-10","다목적","해운대구","7667","부산광역시 해운대구청","35.16904508","129.1780866","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여1동220-5","부산광역시 해운대구 반여1동220-5","1","2018-08-10","다목적","해운대구","7590","부산광역시 해운대구청","35.2122771","129.1277536","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여1동880-2번지","부산광역시 해운대구 반여1동880-2번지","1","2018-08-10","다목적","해운대구","7591","부산광역시 해운대구청","35.2082244","129.1242831","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여3동1575-77","부산광역시 해운대구 반여3동1575-77","1","2018-08-10","다목적","해운대구","7592","부산광역시 해운대구청","35.2026113","129.1356113","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여4동1542-9","부산광역시 해운대구 반여4동1542-9","1","2018-08-10","다목적","해운대구","7593","부산광역시 해운대구청","35.2094377","129.1187261","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여4동1543-1","부산광역시 해운대구 반여4동1543-1","1","2018-08-10","다목적","해운대구","7594","부산광역시 해운대구청","35.2088684","129.1192751","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여4동620-7","부산광역시 해운대구 반여4동620-7","1","2018-08-10","다목적","해운대구","7595","부산광역시 해운대구청","35.2091626","129.117192","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  반여동 1648","부산광역시 해운대구 반여동 1648","1","2018-08-10","다목적","해운대구","7596","부산광역시 해운대구청","35.202967","129.125754","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1650","부산광역시 해운대구 반여동 1650","1","2018-08-10","다목적","해운대구","7597","부산광역시 해운대구청","35.1986949","129.123721","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 529-9","부산광역시 해운대구 반여동 529-9","2","2018-08-10","다목적","해운대구","7598","부산광역시 해운대구청","35.215334","129.124843","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구 반여동 819-33","부산광역시 해운대구 반여동 819-33","1","2018-08-10","다목적","해운대구","7599","부산광역시 해운대구청","35.2090193","129.125657","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 산111-2","부산광역시 해운대구 반여동 산111-2","1","2018-08-10","다목적","해운대구","7600","부산광역시 해운대구청","35.2034555","129.136137","10","1","051-749-4491","등산로방향","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동11-1","부산광역시 해운대구 반여동11-1","1","2018-08-10","다목적","해운대구","7601","부산광역시 해운대구청","35.218174","129.140532","10","1","051-749-6166","천변방향","200","","","","-","30",""
"xml","부산광역시 해운대구 반여1동 1628-3","부산광역시 해운대구 반여로 112","2","2018-08-10","다목적","해운대구","7602","부산광역시 해운대구청","35.20139817","129.1236549","10","1","051-749-4562","차로방향","41","","","","-","30",""
"xml","부산광역시 해운대구  반여로 128 (반여동 1647)","부산광역시 해운대구 반여로 128","1","2018-08-10","다목적","해운대구","7603","부산광역시 해운대구청","35.170569","129.162598","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  반여1동 1620(반여1동 1620공)","부산광역시 해운대구 반여로 133","1","2018-08-10","다목적","해운대구","7604","부산광역시 해운대구청","35.18795013","129.2055821","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  반여로 165 (반여동 1247-13)","부산광역시 해운대구 반여로 165","1","2018-08-10","다목적","해운대구","7605","부산광역시 해운대구청","35.19424463","129.128711","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 982-63","부산광역시 해운대구 반여로 167번가길 29-4","1","2018-08-10","다목적","해운대구","7606","부산광역시 해운대구청","35.2068948","129.126914","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1364-16","부산광역시 해운대구 반여로 27번길 23","1","2018-08-10","다목적","해운대구","7607","부산광역시 해운대구청","35.1957077","129.118953","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1369-3","부산광역시 해운대구 반여로 41번길 27-12","1","2018-08-10","다목적","해운대구","7608","부산광역시 해운대구청","35.1965665","129.1192656","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1403-59","부산광역시 해운대구 반여로 41번길 54","1","2018-08-10","다목적","해운대구","7609","부산광역시 해운대구청","35.197582","129.118729","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1403-59","부산광역시 해운대구 반여로 41번길 54","1","2018-08-10","다목적","해운대구","7610","부산광역시 해운대구청","35.197582","129.118729","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1403-59","부산광역시 해운대구 반여로 41번길 54","1","2018-08-10","다목적","해운대구","7611","부산광역시 해운대구청","35.197582","129.118729","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  반여동 1663(반여동 1663공)","부산광역시 해운대구 반여로 67","1","2018-08-10","다목적","해운대구","7612","부산광역시 해운대구청","35.20617922","129.118024","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여1동 1651","부산광역시 해운대구 반여로 68-11","1","2018-08-10","다목적","해운대구","7613","부산광역시 해운대구청","35.19742678","129.1235544","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1659","부산광역시 해운대구 반여로 68-12","1","2018-08-10","다목적","해운대구","7614","부산광역시 해운대구청","35.175294","129.174796","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1660","부산광역시 해운대구 반여로 68-12","1","2018-08-10","다목적","해운대구","7615","부산광역시 해운대구청","35.1965682","129.124345","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 994-1","부산광역시 해운대구 반여로155번가길 21(반여동 994-1)","1","2018-08-10","다목적","해운대구","7616","부산광역시 해운대구청","35.206409","129.125731","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1236-1","부산광역시 해운대구 반여로155번길35-13","1","2018-08-10","다목적","해운대구","7617","부산광역시 해운대구청","35.205714","129.124142","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여1동931-2","부산광역시 해운대구 반여로167번길 43-17","1","2018-08-10","다목적","해운대구","7618","부산광역시 해운대구청","35.2065861","129.1241386","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  반여동 842-14(반여동 1508-17구)","부산광역시 해운대구 반여로185번길 15","1","2018-08-10","다목적","해운대구","7619","부산광역시 해운대구청","35.220571","129.151258","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1338","부산광역시 해운대구 반여로27번길 22-21 (반여동 1338)","1","2018-08-10","다목적","해운대구","7620","부산광역시 해운대구청","35.195559","129.119804","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반여동 1327-4","부산광역시 해운대구 반여로29","1","2018-08-10","다목적","해운대구","7621","부산광역시 해운대구청","35.1952241","129.1200817","10","1","051-749-4461","쓰레기무단투기빈번지역","41","","","","-","30",""
"xml","부산광역시 해운대구 반여1동 1322","부산광역시 해운대구 반여로42번길 12","1","2018-08-10","다목적","해운대구","7622","부산광역시 해운대구청","35.1900385","129.1181522","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구  부산 해운대구 우동 641-3","부산광역시 해운대구 부산 해운대구 구남로8번길 58","1","2018-08-10","다목적","해운대구","7623","부산광역시 해운대구청","35.17856675","129.1730288","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 부산 해운대구 석대동","부산광역시 해운대구 부산 해운대구 반송로 512","4","2018-08-10","다목적","해운대구","7624","부산광역시 해운대구청","35.217618","129.119328","10","1","051-749-4562","차로방향","200","","","","-","30",""
"xml","부산광역시 해운대구 ?반송동 1-3","부산광역시 해운대구 부산 해운대구 윗반송로 126번길 39","1","2018-08-10","다목적","해운대구","7625","부산광역시 해운대구청","35.235651","129.160711","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 반송동 62-121","부산광역시 해운대구 부산 해운대구 윗반송로 51번길 149","1","2018-08-10","다목적","해운대구","7626","부산광역시 해운대구청","35.232741","129.157148","10","1","051-749-6051","360도다방면","200","","","","-","30",""
"xml","부산광역시 해운대구 부산 해운대구 우동 629-3","부산광역시 해운대구 부산 해운대구 해운대해변로237번길","4","2018-08-10","다목적","해운대구","7627","부산광역시 해운대구청","35.160255","129.157885","10","1","051-749-4562","차로방향","200","","","","-","30",""
